iter	Logloss
0	0.6594883281
1	0.629526795
2	0.6027555393
3	0.5786078735
4	0.5572869605
5	0.5384263307
6	0.5215144328
7	0.5063709391
8	0.4929289321
9	0.4808135124
10	0.4698622301
11	0.4600652334
12	0.451575633
13	0.4436626963
14	0.4368547345
15	0.4306491933
16	0.4248433015
17	0.4198163249
18	0.4152543353
19	0.411080376
20	0.40764351
21	0.4041760937
22	0.4012292062
23	0.3984115383
24	0.3959235107
25	0.3937966176
26	0.3918789582
27	0.3900552982
28	0.3882805125
29	0.3867120935
30	0.3854083153
31	0.3840935544
32	0.3829331026
33	0.3817361799
34	0.3807021416
35	0.3797078606
36	0.3789644873
37	0.3781446001
38	0.3775100947
39	0.3767652146
40	0.3761490643
41	0.3755582649
42	0.3749207587
43	0.3742738787
44	0.3736540374
45	0.373188484
46	0.3727494499
47	0.3723769055
48	0.3719526944
49	0.3716970648
50	0.371501781
51	0.3711731524
52	0.3708073197
53	0.3704156101
54	0.3702368161
55	0.3700281381
56	0.3696911702
57	0.3695014327
58	0.3692676143
59	0.369039527
60	0.3687474617
61	0.3685551771
62	0.3682139301
63	0.3679615567
64	0.3677549223
65	0.3675093747
66	0.3672697
67	0.3670078853
68	0.3668030635
69	0.3665383417
70	0.3663766389
71	0.3661929351
