iter	Passed	Remaining
0	22	16850
1	31	11563
2	38	9487
3	46	8516
4	53	7746
5	63	7683
6	70	7299
7	77	7051
8	84	6836
9	94	6856
10	103	6843
11	113	6808
12	120	6666
13	130	6746
14	137	6615
15	149	6723
16	160	6791
17	167	6675
18	175	6602
19	182	6520
20	193	6569
21	199	6479
22	207	6428
23	216	6399
24	224	6386
25	234	6395
26	242	6367
27	252	6381
28	263	6420
29	270	6359
30	281	6386
31	288	6330
32	297	6318
33	304	6285
34	313	6277
35	329	6396
36	344	6502
37	361	6638
38	371	6634
39	380	6615
40	392	6644
41	402	6644
42	417	6711
43	429	6746
44	445	6828
45	460	6896
46	473	6931
47	482	6901
48	493	6914
49	501	6874
50	512	6868
51	518	6812
52	528	6795
53	534	6742
54	542	6704
55	551	6689
56	560	6669
57	568	6634
58	579	6641
59	591	6648
60	601	6640
61	608	6608
62	615	6561
63	622	6526
64	631	6511
65	642	6512
66	650	6484
67	659	6466
68	667	6438
69	675	6414
70	684	6399
71	692	6380
72	700	6356
73	709	6335
74	717	6310
75	728	6320
76	737	6299
77	745	6280
78	753	6253
79	765	6266
80	776	6266
81	783	6243
82	794	6242
83	802	6220
84	811	6208
85	841	6353
86	851	6340
87	863	6345
88	870	6320
89	878	6296
90	887	6282
91	897	6271
92	906	6255
93	915	6243
94	924	6226
95	934	6217
96	945	6216
97	953	6197
98	963	6187
99	971	6170
100	981	6162
101	990	6146
102	998	6127
103	1008	6119
104	1016	6099
105	1026	6093
106	1037	6087
107	1045	6068
108	1054	6053
109	1063	6044
110	1075	6043
111	1083	6026
112	1093	6016
113	1101	5999
114	1109	5983
115	1119	5972
116	1127	5957
117	1135	5938
118	1143	5921
119	1152	5905
120	1162	5900
121	1171	5886
122	1179	5867
123	1185	5843
124	1194	5827
125	1204	5821
126	1211	5800
127	1218	5779
128	1228	5769
129	1235	5751
130	1246	5747
131	1255	5735
132	1265	5726
133	1273	5712
134	1282	5701
135	1294	5699
136	1302	5683
137	1310	5669
138	1318	5653
139	1327	5641
140	1337	5634
141	1344	5615
142	1354	5609
143	1367	5611
144	1379	5612
145	1391	5612
146	1399	5598
147	1466	5817
148	1476	5807
149	1492	5821
150	1508	5832
151	1514	5810
152	1524	5797
153	1532	5780
154	1542	5772
155	1553	5766
156	1561	5749
157	1574	5749
158	1584	5739
159	1594	5731
160	1606	5727
161	1615	5713
162	1625	5705
163	1634	5690
164	1643	5677
165	1655	5674
166	1663	5658
167	1672	5645
168	1681	5630
169	1692	5624
170	1706	5627
171	1714	5613
172	1725	5604
173	1734	5593
174	1743	5578
175	1755	5577
176	1765	5564
177	1774	5552
178	1782	5538
179	1791	5524
180	1801	5515
181	1817	5521
182	1828	5515
183	1837	5503
184	1845	5486
185	1855	5475
186	1861	5456
187	1871	5445
188	1880	5433
