iter	Logloss
0	0.6917605013
5	0.6861352529
10	0.6817585938
15	0.6783274958
20	0.6755591962
25	0.6730975464
30	0.6710584887
35	0.6690967834
40	0.6674210747
45	0.6659055036
50	0.6645283818
55	0.6631498373
60	0.6618693413
65	0.660658609
70	0.6595212623
75	0.6584236697
80	0.6574186067
85	0.65647615
90	0.6555771123
95	0.654685232
100	0.6538549663
105	0.6531806989
110	0.6523042546
115	0.6515184859
120	0.650692532
125	0.6499716116
130	0.6492892812
135	0.648520975
140	0.6477886717
145	0.6471109548
150	0.6464760534
155	0.6458261471
160	0.6451432131
165	0.6444335463
170	0.643849437
175	0.6432496761
180	0.6426166718
185	0.6421338018
190	0.6415672412
195	0.6410530249
200	0.6403897954
205	0.6399098142
210	0.6394226325
215	0.6388445165
220	0.6384042031
225	0.6377926712
230	0.6372632777
235	0.6367212077
240	0.636248772
245	0.6356921715
250	0.635197013
255	0.6348111137
260	0.6343852447
265	0.6338937081
270	0.633349784
275	0.6328484598
280	0.6322647385
285	0.6317970889
290	0.6312659706
295	0.6307632235
300	0.6303123896
305	0.6298801823
310	0.6293867486
315	0.6289375531
320	0.6285071568
325	0.6280910754
330	0.6276500722
335	0.6272486506
340	0.6269285913
345	0.6265591627
350	0.626212112
355	0.6257133748
360	0.625321396
365	0.6247945463
370	0.624446159
375	0.6240111922
380	0.6236226627
385	0.6232737148
390	0.6229032515
395	0.622391191
400	0.62201827
405	0.6216215913
410	0.6212731177
415	0.6209132181
420	0.6205650032
425	0.6201767755
430	0.6197199483
435	0.6192587663
440	0.6189407334
445	0.6185037833
450	0.6181171941
455	0.6176873151
460	0.617315127
465	0.6168600245
470	0.616511939
475	0.6161401821
480	0.6157467803
485	0.6153041818
490	0.6148491655
495	0.6144213562
500	0.614047271
505	0.6135937638
510	0.6132559402
515	0.6128229999
520	0.6123945007
525	0.6119901041
530	0.6115942015
535	0.611250514
540	0.610883888
545	0.6105245489
550	0.6101104077
555	0.609714419
560	0.6093884095
565	0.6089960856
570	0.6086551576
575	0.6082806843
580	0.6077825939
585	0.6074296361
590	0.6071172948
595	0.6066700827
600	0.6063604146
605	0.606167853
610	0.6058230875
615	0.6054762955
620	0.6051062633
625	0.6047960347
630	0.604518101
635	0.6041462578
640	0.6037637647
645	0.6033836862
650	0.6029670443
655	0.6026646199
660	0.6022187445
665	0.6019581438
670	0.601674648
675	0.6013419553
680	0.6010375475
685	0.6007150305
690	0.6003679798
695	0.6000276985
700	0.5996718519
705	0.599331355
710	0.59898051
715	0.5986562683
720	0.5984449075
725	0.5980406834
730	0.5976478853
734	0.5973580511
