iter	Logloss
0	0.6865500477
1	0.6801026274
2	0.6738226758
3	0.6676670497
4	0.6616910795
5	0.6558517316
6	0.6501430023
7	0.644527634
8	0.6390653475
9	0.633693937
10	0.6284648772
11	0.6233805808
12	0.6183973811
13	0.6134991819
14	0.6087064475
15	0.6040366837
16	0.5994833082
17	0.5950272785
18	0.5906317261
19	0.5863749362
20	0.582188938
21	0.5781086789
22	0.5741090255
23	0.5701711777
24	0.566312681
25	0.5625687519
26	0.5588789535
27	0.5552834055
28	0.5517394848
29	0.5482849262
30	0.544884191
31	0.5415492957
32	0.538304004
33	0.5351460036
34	0.5320432046
35	0.5289861233
36	0.5260196178
37	0.5231132209
38	0.5202456843
39	0.5174553278
40	0.514708927
41	0.5120054072
42	0.5093792824
43	0.5067863903
44	0.5042434073
45	0.501751273
46	0.4993202579
47	0.4969374671
48	0.494605327
49	0.4923117906
50	0.490061892
51	0.4878549818
52	0.4856818693
53	0.4835466619
54	0.4814629454
55	0.4794302384
56	0.4774487708
57	0.4755096065
58	0.4735857857
59	0.4717252109
60	0.4698777542
61	0.4680653735
62	0.4662850902
63	0.4645426767
64	0.4628319664
65	0.4611448648
66	0.4595098143
67	0.4578989394
68	0.4563111506
69	0.4547521666
70	0.4532318523
71	0.4517593514
72	0.4503047534
73	0.4488880333
74	0.4474827881
75	0.4461093028
76	0.4447544096
77	0.4434256854
78	0.4421216214
79	0.4408514646
80	0.4395988081
81	0.4383753676
82	0.4371959726
83	0.4360411841
84	0.4348842541
85	0.4337470413
86	0.4326275136
87	0.4315461321
88	0.4304751938
89	0.4294248301
90	0.4284366682
91	0.427421388
92	0.4264459638
93	0.4255001334
94	0.4245533668
95	0.4236258825
96	0.42270201
97	0.4218234283
98	0.4209570727
99	0.4201048898
100	0.4192577984
101	0.4184116124
102	0.4176095461
103	0.4167928937
104	0.4160043266
105	0.4152351485
106	0.4144895202
107	0.413735105
108	0.4130103461
109	0.4122973615
110	0.4115964558
111	0.4109113115
112	0.4102394388
113	0.4095929766
114	0.4089489031
115	0.408335697
116	0.4076943631
117	0.407089455
118	0.4064898744
119	0.4059013568
120	0.4053250603
121	0.4047594486
122	0.4042082842
123	0.4036815369
124	0.4031468661
125	0.4026258369
126	0.4021151665
127	0.4016166065
128	0.4011207319
129	0.4006373366
130	0.4001730869
131	0.399723135
132	0.3992405496
133	0.39878461
134	0.3983436286
135	0.3979142556
136	0.3974808271
137	0.3970604423
138	0.3966307001
139	0.3962384665
140	0.3958507739
141	0.3954555683
142	0.3950726804
143	0.3946999451
144	0.3943342218
145	0.3939846871
146	0.3936449812
147	0.393296761
148	0.3929487104
149	0.3926100885
150	0.3922853012
151	0.3919732665
152	0.3916522329
153	0.3913343981
154	0.3910346693
155	0.3907351413
156	0.3904360311
157	0.3901444178
158	0.389864538
159	0.3895952229
160	0.3893340568
161	0.389061291
162	0.3887978447
163	0.3885427482
164	0.3882881098
165	0.3880272357
166	0.3878003341
167	0.3875638563
168	0.3873189931
169	0.3870815452
170	0.3868472663
171	0.3866254554
172	0.386409442
173	0.3862050491
174	0.3859927898
175	0.3857915975
176	0.3855776744
177	0.3853721224
178	0.3851756105
179	0.3849730054
180	0.3847696483
181	0.3845780646
182	0.3843931964
183	0.3842037802
184	0.3840376113
185	0.3838570101
186	0.3836900343
187	0.3835325197
188	0.383366063
189	0.3832041905
190	0.3830402614
191	0.3828846552
192	0.3827268279
193	0.3825745568
194	0.3824427065
195	0.3823029834
196	0.3821605682
197	0.3820229088
198	0.3818802166
199	0.3817407051
200	0.3816056373
201	0.3814811753
202	0.3813698829
203	0.3812312362
204	0.381100474
205	0.3809726712
206	0.3808463399
207	0.3807238104
208	0.3806028781
209	0.3804909662
210	0.3803736596
211	0.3802666283
212	0.3801575584
213	0.3800529322
214	0.3799496107
215	0.379851728
216	0.3797470524
217	0.3796481818
218	0.3795454591
219	0.3794388256
220	0.3793308879
221	0.3792381247
222	0.3791365113
223	0.379049175
224	0.3789701696
