iter	Passed	Remaining
0	10	9480
1	18	8251
2	26	7927
3	35	7926
4	42	7721
5	48	7361
6	56	7291
7	64	7215
8	71	7147
9	78	7045
10	86	7031
11	92	6942
12	101	6953
13	109	6973
14	116	6949
15	124	6938
16	131	6900
17	140	6933
18	149	6974
19	157	7003
20	165	6979
21	172	6946
22	179	6912
23	186	6881
24	195	6898
25	204	6925
26	214	6988
27	223	7020
28	231	7030
29	239	7021
30	248	7016
31	257	7047
32	265	7044
33	274	7055
34	282	7053
35	290	7041
36	299	7062
37	309	7086
38	319	7112
39	328	7139
40	339	7182
41	351	7250
42	362	7298
43	373	7336
44	385	7397
45	400	7506
46	425	7790
47	449	8046
48	466	8176
49	480	8252
50	496	8343
51	508	8364
52	518	8360
53	530	8385
54	540	8387
55	554	8443
56	565	8449
57	580	8504
58	593	8538
59	603	8522
60	613	8516
61	622	8491
62	632	8479
63	641	8454
64	651	8451
65	660	8422
66	670	8420
67	681	8420
68	691	8404
69	705	8444
70	717	8461
71	728	8453
72	737	8430
73	745	8405
74	755	8395
75	765	8379
76	774	8355
77	782	8326
78	791	8309
79	801	8294
80	811	8285
81	821	8271
82	829	8247
83	838	8222
84	847	8207
85	855	8177
86	865	8168
87	874	8150
88	883	8132
89	893	8119
90	897	8061
91	906	8036
92	914	8017
93	923	7997
94	932	7979
95	941	7962
96	950	7943
97	959	7934
98	969	7918
99	977	7902
100	986	7879
101	996	7874
102	1006	7864
103	1014	7840
104	1024	7831
105	1033	7821
106	1042	7806
107	1052	7798
108	1064	7800
109	1074	7796
110	1083	7780
111	1093	7772
112	1102	7758
113	1113	7757
114	1123	7746
115	1132	7729
116	1140	7711
117	1149	7694
118	1159	7688
119	1169	7677
120	1178	7663
121	1188	7654
122	1198	7647
123	1209	7644
124	1218	7633
125	1229	7627
126	1238	7616
127	1246	7596
128	1256	7589
129	1268	7593
130	1277	7579
131	1289	7578
132	1299	7570
133	1308	7557
134	1317	7544
135	1329	7545
136	1341	7548
137	1352	7547
138	1363	7543
139	1374	7540
140	1385	7537
141	1394	7523
142	1406	7523
143	1428	7579
144	1440	7577
145	1451	7574
146	1463	7576
147	1473	7566
148	1484	7562
149	1559	7878
150	1579	7916
151	1605	7983
152	1622	8004
153	1632	7994
154	1643	7986
155	1655	7982
156	1666	7973
157	1676	7960
158	1688	7952
159	1699	7944
160	1709	7932
161	1718	7915
162	1728	7899
163	1738	7887
164	1750	7884
165	1765	7889
166	1779	7897
167	1789	7882
168	1800	7873
169	1810	7861
170	1821	7849
171	1830	7832
172	1839	7816
173	1849	7803
174	1860	7792
175	1870	7779
176	1879	7764
177	1888	7743
178	1895	7721
179	1903	7697
180	1910	7672
181	1917	7650
182	1925	7626
183	1933	7606
184	1942	7590
185	1950	7570
186	1958	7551
187	1968	7540
188	1976	7520
189	1986	7506
190	1995	7491
191	2004	7473
192	2011	7451
193	2019	7432
194	2028	7415
195	2037	7402
196	2045	7382
197	2054	7366
198	2063	7351
199	2071	7333
200	2079	7313
201	2087	7296
202	2094	7274
203	2102	7254
204	2111	7242
205	2121	7229
206	2130	7215
207	2139	7201
208	2148	7186
209	2158	7173
210	2168	7164
211	2177	7148
212	2187	7136
213	2195	7119
214	2203	7101
215	2211	7086
216	2221	7072
217	2230	7060
218	2239	7044
219	2247	7029
220	2257	7016
221	2266	7004
222	2276	6991
223	2285	6980
224	2297	6975
225	2306	6961
226	2316	6948
227	2324	6934
228	2334	6922
229	2343	6907
230	2352	6896
231	2363	6887
232	2372	6872
233	2382	6863
234	2393	6855
235	2406	6851
236	2416	6841
237	2426	6831
238	2437	6822
239	2447	6813
240	2456	6797
241	2466	6787
242	2474	6772
243	2484	6760
244	2493	6746
245	2502	6735
246	2512	6722
247	2520	6708
248	2530	6696
249	2537	6678
250	2547	6667
251	2553	6647
252	2564	6638
253	2573	6625
254	2584	6619
255	2594	6608
256	2604	6598
257	2612	6582
258	2621	6570
259	2630	6556
260	2638	6541
261	2646	6525
262	2655	6511
263	2665	6501
264	2674	6489
265	2684	6477
266	2692	6464
267	2702	6454
268	2710	6438
269	2718	6424
270	2727	6411
271	2737	6401
272	2747	6390
273	2758	6382
274	2766	6368
275	2777	6359
276	2786	6346
277	2796	6338
278	2805	6325
279	2814	6312
280	2824	6302
281	2833	6289
282	2842	6277
283	2851	6264
284	2862	6256
285	2872	6246
286	2882	6236
287	2890	6223
288	2898	6208
289	2907	6195
290	2915	6182
291	2925	6171
292	2934	6159
293	2945	6151
294	2957	6145
295	2968	6137
296	2978	6126
297	2989	6118
298	3000	6110
299	3010	6101
300	3020	6090
301	3028	6077
302	3038	6067
303	3047	6055
304	3059	6049
305	3069	6037
306	3081	6032
307	3092	6024
308	3101	6011
309	3114	6007
310	3123	5996
311	3136	5991
312	3146	5981
313	3162	5983
314	3179	5984
315	3190	5976
316	3203	5973
317	3217	5969
318	3227	5960
319	3241	5956
320	3252	5947
321	3264	5940
322	3274	5929
323	3286	5923
324	3297	5915
325	3306	5903
326	3317	5894
327	3326	5881
328	3338	5875
329	3349	5866
330	3361	5860
331	3375	5856
332	3393	5859
333	3404	5850
334	3415	5841
335	3425	5832
336	3436	5822
337	3447	5813
338	3458	5805
339	3471	5799
340	3484	5793
341	3497	5787
342	3510	5782
343	3520	5772
344	3533	5766
345	3544	5756
346	3555	5747
347	3565	5738
348	3576	5727
349	3585	5716
350	3594	5703
351	3604	5694
352	3615	5684
353	3627	5676
354	3634	5662
355	3644	5651
356	3656	5642
357	3664	5629
358	3674	5619
359	3685	5610
360	3693	5597
361	3702	5584
362	3713	5575
363	3721	5561
364	3731	5550
365	3740	5538
366	3748	5525
367	3757	5514
368	3768	5504
369	3779	5495
370	3789	5484
371	3798	5472
372	3806	5459
373	3814	5446
374	3823	5434
375	3832	5423
376	3841	5410
377	3851	5400
378	3861	5389
379	3871	5379
380	3881	5368
381	3889	5355
382	3897	5342
383	3906	5331
384	3914	5316
385	3923	5305
386	3931	5292
387	3939	5280
388	3948	5268
389	3958	5257
390	3968	5247
391	3978	5237
392	3988	5226
393	3997	5214
394	4006	5203
395	4015	5191
396	4025	5181
397	4032	5167
398	4042	5157
399	4049	5143
400	4058	5131
401	4067	5120
402	4077	5109
403	4087	5098
404	4095	5086
405	4104	5075
406	4113	5063
407	4121	5050
408	4130	5039
409	4138	5026
410	4146	5014
411	4156	5004
412	4167	4994
413	4177	4985
414	4187	4974
415	4197	4964
416	4207	4954
417	4217	4944
418	4225	4931
419	4235	4921
420	4244	4909
421	4255	4900
422	4263	4887
423	4274	4878
424	4282	4867
425	4292	4856
426	4302	4846
427	4311	4835
428	4319	4822
429	4328	4811
430	4338	4801
431	4347	4790
432	4356	4779
433	4365	4767
434	4375	4757
435	4386	4748
436	4394	4736
437	4402	4723
438	4411	4713
439	4419	4700
440	4427	4688
441	4434	4675
442	4443	4664
443	4453	4653
444	4462	4643
445	4473	4634
446	4481	4622
447	4489	4610
448	4501	4601
449	4510	4590
450	4519	4579
451	4529	4569
452	4537	4557
453	4544	4544
454	4552	4532
455	4559	4519
456	4569	4509
457	4580	4500
458	4588	4488
459	4598	4478
460	4605	4466
461	4612	4452
462	4620	4440
463	4629	4430
464	4639	4419
465	4649	4409
466	4658	4399
467	4672	4393
468	4681	4381
469	4691	4371
470	4701	4362
471	4710	4351
472	4722	4343
473	4733	4333
474	4743	4324
475	4752	4313
476	4764	4305
477	4776	4296
478	4786	4286
479	4846	4321
480	4869	4322
481	4908	4338
482	4933	4341
483	4960	4345
484	4979	4342
485	4995	4337
486	5005	4327
487	5019	4319
488	5029	4309
489	5045	4304
490	5060	4297
491	5075	4291
492	5093	4287
493	5168	4331
494	5182	4323
495	5199	4319
496	5211	4309
497	5225	4302
498	5239	4294
499	5249	4283
500	5260	4273
501	5272	4264
502	5279	4251
503	5290	4240
504	5300	4229
505	5312	4220
506	5321	4209
507	5329	4196
508	5338	4184
509	5348	4173
510	5359	4163
511	5369	4153
512	5381	4143
513	5392	4133
514	5409	4128
515	5422	4119
516	5449	4121
517	5501	4141
518	5516	4134
519	5550	4141
520	5565	4134
521	5573	4121
522	5585	4111
523	5601	4104
524	5615	4096
525	5627	4087
526	5637	4075
527	5653	4068
528	5668	4060
529	5687	4056
530	5711	4054
531	5723	4044
532	5733	4033
533	5741	4021
534	5756	4013
535	5778	4010
536	5791	4001
537	5800	3989
538	5817	3982
539	5829	3972
540	5841	3962
541	5856	3954
542	5866	3943
543	5878	3933
544	5890	3923
545	5902	3913
546	5915	3904
547	5932	3897
548	5943	3886
549	5951	3874
550	5968	3866
551	5979	3856
552	5991	3846
553	6002	3835
554	6013	3824
555	6025	3814
556	6037	3804
557	6050	3794
558	6062	3784
559	6073	3774
560	6083	3762
561	6094	3752
562	6104	3741
563	6114	3729
564	6126	3719
565	6139	3709
566	6149	3698
567	6160	3687
568	6171	3676
569	6181	3665
570	6192	3654
571	6203	3644
572	6211	3631
573	6222	3620
574	6232	3609
575	6242	3597
576	6252	3587
577	6260	3574
578	6269	3562
579	6278	3550
580	6288	3539
581	6298	3527
582	6307	3516
583	6314	3503
584	6320	3489
585	6330	3478
586	6340	3467
587	6350	3456
588	6356	3442
589	6367	3431
590	6373	3418
591	6382	3406
592	6390	3394
593	6399	3383
594	6407	3370
595	6417	3359
596	6423	3346
597	6433	3335
598	6442	3323
599	6449	3310
600	6459	3299
601	6468	3287
602	6476	3275
603	6485	3264
604	6494	3252
605	6503	3240
606	6512	3229
607	6521	3217
608	6532	3207
609	6540	3195
610	6548	3183
611	6557	3171
612	6565	3159
613	6573	3147
614	6582	3135
615	6590	3124
616	6598	3112
617	6605	3099
618	6611	3086
619	6620	3075
620	6629	3064
621	6635	3050
622	6644	3039
623	6652	3027
624	6659	3015
625	6667	3003
626	6675	2991
627	6684	2980
628	6695	2969
629	6704	2958
630	6713	2947
631	6723	2936
632	6732	2924
633	6741	2913
634	6755	2904
635	6768	2894
636	6778	2883
637	6791	2873
638	6809	2866
639	6823	2857
640	6833	2846
641	6843	2835
642	6851	2823
643	6918	2835
644	6986	2848
645	7000	2839
646	7034	2837
647	7049	2828
648	7062	2818
649	7075	2808
650	7088	2798
651	7103	2788
652	7114	2778
653	7126	2767
654	7137	2756
655	7147	2745
656	7158	2734
657	7169	2724
658	7180	2713
659	7189	2701
660	7199	2690
661	7208	2678
662	7221	2668
663	7232	2657
664	7243	2646
665	7253	2635
666	7261	2623
667	7271	2612
668	7279	2600
669	7285	2588
670	7293	2576
671	7304	2565
672	7311	2553
673	7318	2541
674	7327	2529
675	7338	2518
676	7347	2507
677	7357	2495
678	7364	2483
679	7374	2472
680	7382	2460
681	7393	2450
682	7405	2439
683	7415	2428
684	7427	2418
685	7438	2407
686	7447	2395
687	7456	2384
688	7469	2374
689	7479	2363
690	7488	2351
691	7497	2340
692	7513	2331
693	7524	2320
694	7531	2308
695	7541	2296
696	7549	2285
697	7558	2274
698	7567	2262
699	7575	2250
700	7584	2239
701	7591	2227
702	7601	2216
703	7609	2205
704	7617	2193
705	7624	2181
706	7631	2169
707	7637	2157
708	7646	2146
709	7656	2135
710	7665	2123
711	7672	2112
712	7682	2101
713	7690	2089
714	7698	2078
715	7705	2066
716	7712	2054
717	7723	2043
718	7732	2032
719	7741	2021
720	7749	2010
721	7757	1998
722	7765	1986
723	7773	1975
724	7780	1964
725	7789	1952
726	7798	1941
727	7807	1930
728	7815	1919
729	7822	1907
730	7829	1895
731	7835	1883
732	7844	1872
733	7851	1861
734	7859	1850
735	7870	1839
736	7879	1828
737	7888	1817
738	7895	1805
739	7903	1794
740	7912	1783
741	7921	1772
742	7930	1761
743	7939	1750
744	7946	1738
745	7951	1726
746	7960	1715
747	8017	1715
748	8044	1707
749	8084	1703
750	8101	1693
751	8111	1682
752	8122	1671
753	8136	1661
754	8148	1651
755	8158	1640
756	8168	1629
757	8186	1620
758	8198	1609
759	8208	1598
760	8224	1588
761	8234	1577
762	8250	1567
763	8279	1560
764	8293	1550
765	8310	1540
766	8317	1529
767	8332	1519
768	8345	1508
769	8362	1498
770	8376	1488
771	8384	1477
772	8395	1466
773	8410	1456
774	8422	1445
775	8432	1434
776	8441	1423
777	8453	1412
778	8463	1401
779	8472	1390
780	8483	1379
781	8494	1368
782	8505	1357
783	8514	1346
784	8522	1335
785	8530	1324
786	8536	1312
787	8546	1301
788	8557	1290
789	8562	1278
790	8568	1267
791	8573	1255
792	8581	1244
793	8590	1233
794	8596	1221
795	8604	1210
796	8612	1199
797	8621	1188
798	8630	1177
799	8641	1166
800	8652	1155
801	8660	1144
802	8669	1133
803	8678	1122
804	8686	1111
805	8694	1100
806	8702	1089
